title,topic_id
How can I see my cashflow analytics?,42
How can I see my spending and income analytics?,42
How can I see my total wealth analytics?,42
How do I add a custom asset to my total wealth view?,42
How to assign and adjust categories,7
Create and manage custom categories for transactions,7
How does sorting to investments work?,-1
How are trips defined for travel analytics?,2
How can I see my travel analytics?,42
How does travel mode work?,-1
Using the Income Sorter feature,-1
What is the analytics dashboard?,42
Why wasn’t my income sorted?,-1
How does Bulgaria adopting the Euro affect me?,-1
What is Open Banking and how does it work?,12
How will the account transition affect returns/chargebacks?,19
Are funds in my  independent teen account FSCS protected?,26
Can I keep my e-money account?,19
Does the account transfer impact my plan insurance cover?,2
How will I know when my account has been moved?,19
Is my account eligible to be moved to Revolut Bank?,19
Is the money in my Savings account protected by the FSCS?,26
"Now that Revolut is a bank, how is my money protected?",26
What do I need to do to move my account to a bank account?,19
What happens to my data while my account is being moved?,19
What will happen to my account when it’s moved?,26
What will happen to my Joint account?,19
Who regulates Revolut Bank and where can I complain?,4
Why is Revolut becoming a bank in the UK?,26
Will my account be at risk while it's being moved over?,19
Will my account details change after my account is moved?,19
Will my fees and charges change now that Revolut is a bank?,19
Will Revolut Bank have physical branches?,-1
Will the account transition have any tax implications?,19
Will this affect my other Revolut products?,19
Why didn't I get a bank account when I signed up?,26
Will my hardware be affected by the account transition?,19
Will the transition affect my Pro products and services?,19
Why is my balance now negative?,21
Add money in one tap,14
Add money with a bank transfer,14
Add money with an easy bank transfer,14
Get paid early with Early Salary,14
Card deposit limits and fees,13
How to make cash deposits,13
Disruptions to adding money with Visa cards,13
Receiving money to my Revolut card,14
How to add money with a card,-1
Add money with Apple Pay or Google Pay,13
Auto top-ups,-1
Manage my deposit cards,-1
My card deposit didn't work,-1
Restricted card deposits,-1
Ukraine card top-up limits,-1
Why was my top-up reverted?,21
Cards and currencies supported for adding money,8
Why your card top-ups may be blocked,21
Requesting money with a payment link,13
How to split a bill with another Revolut customer,-1
Am I covered by Ultra trip cancellation protection if I need to cancel a flight while abroad?,22
Am I covered for trips or events that I didn't purchase with my Revolut account with Ultra trip and event cancellation protection?,22
Ultra trip & event cancellation with companion coverage,22
How do I get an update on my existing claim?,23
Cancel for any reason complaints,23
How do I make a cancel for any reason protection claim?,22
My supplier won’t let me cancel my trip/event. Am I covered with Ultra trip and event cancellation protection?,22
Does moving home affect Ultra trip and event coverage?,2
Will I get a full refund for my trip or event cancellation?,22
What are the limits of cover and deductibles?,22
Getting started with cancel for any reason protection,22
Documents needed for an Ultra trip and event cancellation protection claim,22
What is a trip?,22
What is an event?,22
Who provides Ultra trip and event cancellation protection?,22
How do I link an external account to Revolut?,14
Manage my external linked accounts in Revolut,-1
Can I accept multiple paid plan gifts?,43
Gifting a paid plan,43
How to share your birthday on Revolut,-1
Receiving paid plan gifts,43
Sending paid plan gifts,43
What happens once the gifted paid plan duration ends?,43
Earning interest with Savings,37
Getting started with Savings,37
How to calculate interest on Savings accounts,37
How is interest calculated on tiered Instant Access Savings?,37
Rate decrease on my Instant Access Savings,37
Why is my withdrawal pending?,9
Savings Challenge,37
Instant Access Savings promotion,37
Tax on Savings,-1
How are the funds in my Savings accounts protected?,26
Why was my Savings Accounts restricted or closed?,-1
Add money to your savings account,-1
Close my Savings account,31
Withdraw from your Savings account,-1
Documents and statements for my Savings accounts,33
Cover for cancelled and interrupted trips,22
Do I have to pay for my trip using my Revolut account?,2
Claiming after Premium travel insurance removal,2
Does moving home impact my travel insurance?,2
Travel insurance coverage,2
Travel insurance for areas affected by conflict,2
Close a Pocket,27
How do I manage a Group Pocket?,27
Adding money to Pockets,27
Withdrawing from Pockets,27
Spare change round ups,-1
I can't find my Vaults,27
How to link a card to a Pocket and manage it,27
Getting started with Pockets,27
What if I don't have enough money in my bills Pocket?,-1
What is Revolut Pay?,-1
How to withdraw cash from an ATM,-1
Fees for cash withdrawals,24
My card payment is pending,21
How to disable RevPoints spare change?,-1
Why did my payment amount change?,21
Fees for card payments in a foreign currency,24
Setting a monthly spending limit,13
How do regulatory limits affect my usage?,-1
Am I eligible for Apple Pay?,8
Am I eligible for Google Pay?,8
Payment limits when using Apple Pay or Google Pay,13
Decline reasons on Apple Pay and Google Pay,21
Setting up Apple Pay,46
Setting up Google Pay,46
Where can I pay with Apple Pay or Google Pay?,13
How do I block and unblock a merchant?,1
What currencies are supported for spending?,8
Card payment fees and limits,13
Card verification and pre-authorisation,-1
What is Dynamic Currency Conversion (DCC)?,-1
Which merchants are not supported by Revolut?,8
What is a virtual card?,38
My virtual card is not working,38
Problems with my card PIN,46
Why was my card payment declined if I have enough funds?,21
What is 3D Secure?,12
Delayed (offline) card payments,21
Where can I use my Revolut card?,8
Am I eligible for Click to Pay?,8
How do I add cards to Click to Pay?,44
How can I remove my card from Click to Pay?,44
What is Click to Pay?,44
Why is my card added to Click to Pay not shown at checkout?,44
Declined card payment isn't visible,21
My card payment was declined by the security system,-1
What is the location-based security feature?,12
My card payment was declined,21
Why has my card payment been reverted?,21
Report a card payment as a scam or fraud,1
Card security settings,-1
Freeze a card,1
How to cancel a dispute,7
Dispute a card payment,-1
Dispute process and timelines,9
Update on my chargeback case,9
Problems with a refund,9
Revolut Chrome Extension,-1
How to withdraw a foreign currency,-1
Limits for using my card abroad,24
Tips for spending in a foreign currency,16
What currency will I be charged in?,16
Manage subscription payments to merchants,1
Report a fraudulent ATM withdrawal,1
When does my ATM withdrawal limit reset?,24
Why is my ATM withdrawal pending?,9
Why was my ATM withdrawal declined?,-1
Activate a physical card,41
Reactivate a card,41
I can't add my card to Apple Pay,46
My card was stolen. What should I do?,41
The name on my card is incorrect,10
Why is my Apple Pay card number different from my Revolut's?,46
My card has been swallowed by an ATM,1
Why aren’t my contactless payments working?,-1
My single-use virtual card isn't working,38
My physical card isn't working,41
What should I do if my card is expiring soon?,41
Can I cancel or edit a card order?,28
Can I choose between Mastercard and Visa?,28
Maximum active cards,38
What are the fees for ordering a card?,28
Creating a virtual card,38
I ordered a card and it didn't arrive,28
Card customisation,28
How does the Clear Sky debit card support Ukraine?,-1
Order a physical card,28
How do I get the Clear Sky debit card?,-1
What is a special edition card?,-1
What card brands and types can I get?,8
Finding the card PIN,-1
Linking an existing card,44
Can I order my card to a different address?,28
How do I use a Revolut virtual card?,38
I received a card that I had marked as undelivered,41
I found my lost card,41
My card has been used fraudulently,1
Glossary of onboarding terms,17
Manage scheduled transfers,7
More help with a scheduled transfer,7
Schedule a transfer,7
Cash withdrawal limits and fees,24
Getting started with Pet Insurance,32
How do I make a protection insurance claim?,23
What's the excess for purchase insurance claims?,23
Submitting documents for a purchase insurance claim,23
Is my mobile device covered by Revolut purchase protection?,23
Getting started with purchase insurance,23
What's not covered under purchase insurance?,23
What items are eligible for purchase insurance?,23
Getting an update on an everyday protection claim,23
Who provides Revolut's everyday protection insurance?,23
Purchase protection coverage,23
Refund protection coverage,23
Event ticket cancellation protection coverage,22
Getting started with travel insurance,2
What is the excess for travel insurance claims?,2
Trips covered by travel insurance,2
Why is my travel insurance coverage ending?,2
Submitting documents for a travel insurance claim,2
How can I view my travel insurance policy documents?,-1
How do I get an update on my existing claim?,2
How do I make a travel insurance claim?,2
Emergency medical assistance abroad,2
Cover for car hire excess,2
Cover for delayed trips,2
"Cover for damaged, lost, or delayed baggage",2
Cover for medical expenses abroad,2
Cover for sports and activities,2
Who is covered by travel insurance?,2
Who is Revolut's travel insurance provider?,2
How do I cancel my Pet Insurance policy?,32
How to make a Pet Insurance claim,32
Pet Insurance payments and renewals,32
How do I complain about my pet insurance?,32
How can I view or manage my Revolut Pet Insurance policy?,32
Free 24/7 FirstVet Video Consultations,32
Who are Revolut Pet Insurance?,32
What are the main pet insurance policy conditions I should be aware of?,32
Can I cancel an Airport Fast Track pass? ,40
How do I purchase an Airport Fast Track pass?,40
How do I use my airport fast track pass?,40
Reasons you can trust Revolut,4
Can I contact Revolut using a Power of Attorney?,-1
Media enquiries,4
Revolut Business,-1
Work at Revolut,-1
Difference between limited and full access to the web app,12
Does Revolut offer services in Russia?,8
Reporting vulnerable circumstances to Revolut,4
How do I share feedback with Revolut?,4
I lost access to a device my passkey is stored on,10
How can I file a complaint?,4
Learn about my rights when making payments in Europe,8
Public Figure Check - More Information,29
What is my tax residence?,29
What happens if the Revolut account holder passes away?,-1
Which Revolut companies provide me with services?,4
How can I improve my financial health?,4
How can I share sensitive information with Revolut?,4
Support if you are experiencing financial difficulties,4
What gambling support is available?,4
Where can I get help and advice on financial abuse?,4
Where can I get help if I'm worried about my mental health?,4
When will Revolut credit be available in my country?,8
What is Revolut Pro and is it free?,45
Cancel a transaction on the Revolut Terminal,7
Cards and contactless payments with Revolut Terminals,13
Failed payments on the Revolut Terminal,21
How do I order a Revolut Terminal?,-1
How do I log in to my Revolut Terminal?,-1
eSIM on Revolut Terminals,30
I'm having trouble using my Revolut Terminal,-1
Sales using a Revolut Pro product catalogue,-1
Edit the time on my Revolut Terminal,-1
Warranty on Revolut Terminals,9
What are Revolut Terminals?,13
When will I receive my Revolut Terminal?,9
Failed payment on Tap to Pay on iPhone,-1
Can I accept payments with Revolut Pro?,13
How much does it cost to accept payments with Revolut Pro?,13
What are Payment Links and how do I use them?,13
When do payments arrive in my Pro account?,9
Install the Shopify plugin for Revolut Pro,-1
Revolut Pro invoices,-1
Warranty on the Revolut Reader,-1
What is Revolut Reader and how do I use it?,13
Using Tap to Pay on iPhone to take payments,13
Why should I accept payments with Revolut Pro?,13
How do I add funds to my Pro account?,14
How to close a Revolut Pro account,31
Difference between Revolut Pro and Revolut Business,45
How to set up Direct Debits in Pro,-1
What features are available with Revolut Pro?,45
How do I move money out of my Revolut Pro account?,14
Order a Revolut Pro card,28
How does Revolut Pro cashback work and how can I boost it?,45
Pro account under review or payments not working,-1
How can I redeem my Pro Perks offers?,18
What is Pro Perks?,45
What are Pro Pockets?,27
Why was my document not accepted for Revolut Pro?,25
Why was my URL not accepted for Revolut Pro?,-1
Where can I find my Revolut Pro account in-app?,-1
Who can use Revolut Pro and how do I get started?,45
Accessing the Retail Web App,10
What features are supported on the Web App?,12
Security and data privacy,-1
How do I close my account?,31
Getting started with AIR,-1
Getting started with Revolut,-1
How to contact Revolut Support,4
Joint account card payments,31
Managing joint account ownership,31
I want to close my Joint account,31
Your Joint account statement,31
Adding money to a Joint account,14
Setting up a Joint account,31
Joint account transfers,14
Order a Joint account card,28
Getting started with Joint Savings,-1
What happens if my joint account balance goes negative?,21
Revolut closed my joint account,31
Difficulty logging in,10
Change passcode,10
I lost access to my passkey,10
Duplicate account,31
Log in with a new phone number,10
Lost or stolen device,10
Sign in with face ID or fingerprint,10
What are passkeys?,10
Download your account confirmation,-1
Download an account statement for a specific currency,33
How to download a card confirmation document,-1
Download a cryptocurrency statement,33
Documents for a closed account ,-1
Get a Pockets statement,27
Download transaction or top-up statement,33
Download statement of fees,33
How to download a subject access request document,-1
How can I download trading statements and reports?,33
Why are my statement balance and in-app balance different?,16
What is the consolidated statement?,33
Cancelling your scheduled plan downgrade,20
Downgrading your paid plan,20
Paid plan downgrade fees ,20
Changing your paid plan billing date,20
Managing your paid plan billing,20
Pay for your missed plan payment,20
Your paid plan subscription end date,20
Next payment date for your paid plan,20
Paid plan payment status,20
Chess.com,11
ClassPass,11
Financial Times,11
Freeletics,11
Headspace,11
Headway,11
MasterClass,11
NordVPN,11
Perplexity,11
Picsart,11
How do I access a partner benefit?,-1
Laundryheap,11
What happens to my partner benefits if I change my plan?,-1
What are partner benefits?,-1
Sleep Cycle,11
The Athletic,11
Tinder,11
Turo rewards,11
Uber One,11
WeWork,11
Discounts for loyal customers,43
Promotional and free trials,20
Order a paid plan card,28
Metal plan,-1
Plus plan,-1
Premium plan,-1
Standard plan,-1
Ultra plan,-1
Can I reopen my closed account?,-1
Switching languages in the app,16
How do I manage notifications from Revolut?,-1
Trouble with mobile verification code,-1
Change my address,19
Change my date of birth,10
Change my name,10
Change my phone number,10
Change or verify email address,10
Change my Revtag,-1
Update my tax information,29
Source of funds,25
Upgrade my plan,20
Accepted proof of address documents,25
Documents for the source of funds verification,25
Verify my identity,25
How do I provide proof of address?,25
I'm unable to verify my identity,25
Where you can sign up for Revolut,-1
What is Revolut ID?,10
Managing a Revolut – Kids & Teens account,15
Revolut – Kids & Teens cards,15
Revolut – Kids & Teens Earn,15
Revolut Kids & Teens Rewards,15
Revolut Kids & Teens Save,15
Revolut – Kids & Teens payments,15
Add money to or withdraw from Revolut Kids & Teens account,15
Forgotten passcode for a Kids & Teens account,10
Graduation to the main app,15
Kids & Teens Instant Access Savings,15
Open a Revolut – Kids & Teens account,15
Revolut — Kids & Teens subscription bundles,15
Request a Revolut – Kids & Teens virtual card,15
Revolut – Kids & Teens card management,15
Revolut Kids & Teens Payment Links,15
Revolut - Kids & Teens Referrals,15
Revolut - Kids & Teens statements,15
What if Revolut - Kids & Teens isn't available?,-1
Is my private information safe?,12
When to put gambling controls in place,4
How does the gambling block work?,1
A refund or chargeback was sent to my closed account,9
My account was restricted or closed,-1
Report a fraudulent transfer,1
What does Revolut use my data for?,-1
How long will Revolut hold my data?,-1
Personal data required to create a Revolut account,-1
Hidden balance feature,-1
Why haven't I received my Referrals reward?,6
Referral reward smaller than expected,6
How to complete all steps for Referrals reward,6
How to complete 'Make purchases' step for Referrals reward,6
Why hasn't my referrer received their Referrals reward?,6
How to add money for the Referrals reward,6
Order a physical card for Referrals reward,28
Referrals reward requirements,6
Conditions for the referral campaign,6
Completing the 'Make purchases' step,6
Claiming special bonus offered by Revolut promotion,6
Missing reward from an influencer or brand signup,6
Promotional cashback,6
Is physical card activation necessary before the deadline?,-1
Is a physical card required for your friend's purchases?,6
How can my friend order a physical card?,-1
How to complete 'Add Money' step,6
"My friend added money, but I still didn’t get the reward",6
My friend hasn’t received the card. Will I get my reward?,6
"My friend made 3 purchases, but I didn’t get the reward",6
"My friend ordered a card, but I didn’t get the reward. Why?",28
What are the requirements for 3 purchases?,6
What are the requirements to get a Referrals reward?,6
Why did I receive a smaller reward for a Referral than you advertised in the app?,6
What is Airline Miles?,18
Linking your airline loyalty account,18
Redeeming RevPoints with Airline Miles,18
Difficulty using Airline Miles,18
Can I cancel an airport lounge pass? ,40
How do I purchase an airport lounge pass?,40
How do I use my airport lounge pass?,40
I'm having difficulty with my airport lounge pass,40
How do I donate to Ukrainian refugees?,-1
Making a donation through Revolut,27
Spare change and recurring Donations,27
Auto-renewing an eSIM data plan,30
Can I label my eSIM for my data plan?,30
Difficulties with eSIM,30
Revolut data plans,30
Installing and activating my eSIM,30
Managing my eSIM data plan,30
Supported eSIM devices,30
Mobile plan access and payment,20
Cancelling or rescheduling a number transfer to Revolut,34
Cancelling your old phone plan,34
Managing a mobile plan for a lost or stolen device,-1
Managing a failed number transfer,34
Managing a number transfer to Revolut,34
Managing mobile plans and add-ons,30
Understanding mobile plan numbers,34
Paying for my mobile plan,20
Mobile plan voice support,4
Setting up voicemail,-1
Bring your number to Revolut mobile,34
Revolut mobile plans,30
Service disruptions during transfer to Revolut,34
Mobile plan allowance and consumption,20
Transfer your Revolut number to another provider,34
Reporting vulnerable circumstances to Revolut,4
How to redeem RevPoints for gift cards,18
Finding your gift cards,-1
Shops,18
Can I get a VAT invoice for my Stays booking?,-1
How are properties sorted?,-1
Manage a Stays booking,18
Make a Stays booking,18
What does the Experiences feature offer?,18
Purchase RevPoints in app,18
Redeem RevPoints,18
How to earn RevPoints,18
RevPoints spare change,-1
What is the RevPoints loyalty program?,18
Personalise RevPoints,18
APP fraud reimbursement eligibility,-1
Authorised Push Payment fraud reimbursement exclusions,-1
Authorised Push Payment fraud reimbursement requirements,-1
Authorised Push Payment fraud reimbursement,-1
How long will the Authorised Push Payment fraud reimbursement process take?,-1
Locked bootloader requirement for Android devices,12
Contacting your device manufacturer,12
Ensuring security by using the official Revolut app,12
Operating system and security updates,12
Security risks of root access,12
Unofficial (custom) firmware,12
Why is the Revolut app no longer supported on my device?,12
Review my information with CIFAS Marker,1
Understanding the account review process,-1
Fraud and cybercrime reporting to national authorities,1
Hidden accounts and transactions,-1
Someone wants to give you a lot of money?,1
Strange small charges on your card?,1
Feeling pressured or threatened?,1
Urgent text from a kid or friend?,1
Looking for a high return?,1
Paying a bill with new bank details? ,1
Have you been offered money to move funds?,1
Received an unexpected link?,1
Buying something online?,1
Met someone new online?,1
My phone suddenly lost signal,1
An urgent call out of the blue?,1
How can I keep my account safe from fraud?,1
"How to report a suspicious call, email, link, or text",1
How does Revolut keep my money safe?,26
How does Revolut protect me against fraud?,12
Accessing your transaction history from your Revolut account,-1
What are linked wallets?,44
What are Wealth Protection limits?,24
Getting started with Street Mode,12
Limits,24
Trouble with my selfie verification for Wealth Protection,25
Getting started with Wealth Protection,12
What are Revolut's safety features?,12
What will happen to my funds if Revolut goes bankrupt?,26
How do I upload a document?,25
Difficulty with selfie authentication,25
What is my tax identification number?,29
Confirm your personal details again,25
Why is my incoming transfer pending?,9
Can I cover intermediary bank fees upfront?,16
"Add, edit, or delete a beneficiary",7
Trusted recipients,7
Transfer I sent arrived in a different currency ,16
Why was my transfer sent via an intermediary bank?,16
I received a transfer from an unknown sender,7
Timeframes for transfers,9
Bank transfer fees,16
Can I receive large bank transfers into my Revolut account?,-1
Can I receive my salary into my Revolut account?,14
Locate a bank transfer sent to my Revolut account,9
Why did I receive less money?,16
Why was the transfer to my account reverted?,9
Supported currencies for holding,8
Switch your account to Revolut,-1
What currency account details are available for me?,-1
What's Revolut's official name and address?,-1
What account details should I use for incoming transfers?,16
How to transfer funds to Revolut,14
Unsupported inbound bank transfers,8
Difficulty adding money with an easy bank transfer,14
Limits for transfers to other Revolut customers,16
Block or report another Revolut customer,1
Group Bills,-1
I sent a transfer to the wrong Revolut customer,7
My transfer to another Revolut customer is pending,7
Send or request money from other Revolut customers,14
Revtags,-1
My transfer to or from someone on Revolut wasn't received,7
I'm unable to send money to another Revolut customer,-1
Transferring funds to an external card,14
I want to cancel my transfer to a card,7
My beneficiary has not received my card transfer,9
Which countries can I send a card transfer to?,8
Why has my card transfer failed or been declined?,-1
Why is my card transfer still pending?,9
I want to cancel a bank transfer,7
Locate a bank transfer sent from Revolut,9
Why is my transfer to a bank account still pending?,9
Why was my outbound bank transfer reverted?,9
I can't send a transfer or create a recipient,7
Can I make a local transfer in a different currency?,-1
Download a transfer confirmation,-1
Sending money from Revolut to a bank account,14
Problem with a Direct Debit,-1
Manage Direct Debits,7
Setting up a Direct Debit,-1
Sending and requesting money with a payment link,-1
Why did my recipient receive less money?,16
I was asked for additional information about my transaction,25
Unsupported transfers sent from Revolut,8
More help with sending money via a payment link,7
Revolut.me link,-1
Insufficient funds for scheduled transfer,-1
Setting up scheduled payments to another Revolut customer,7
Can I transfer money to or from Russia or Belarus?,8
Can I transfer money to Ukraine?,8
Supported currencies for outgoing transfers,8
Benefits and risks of trading crypto ETNs,17
Get started with crypto ETNs,17
Get started with non-crypto ETPs,17
What does it mean to be a high-net-worth investor?,17
What does it mean to be a restricted investor?,17
Leveraged and inverse ETPs,17
What is a crypto ETN?,17
Get started with ETCs,17
Get started with ETNs,17
What is an Exchange-Traded Product (ETP)?,17
Exceeding my ISA allowance,35
Investing with the Stocks and Shares ISA,35
Stocks and Shares Individual Savings Account (ISA),35
Stocks and Shares ISA rules,35
Stocks and Shares ISA transfers,-1
What are the Stocks and Shares ISA fees?,36
What happens to my Stocks and Shares ISA if I move abroad?,-1
Trading Terminal,5
Crypto collections,5
Accessing Revolut X,10
Revolut X top-ups and withdrawals,3
Get started with Revolut X,-1
What types of orders can I create on Revolut X?,0
About crypto unified balance,5
Revolut X fees,24
Failed orders in Revolut X,-1
Why can't I trade in Revolut X?,-1
Why is part of my Revolut X portfolio balance unavailable?,0
Issues with Take Profit or Stop Loss orders,0
Take Profit and Stop Loss orders,0
Setting up a virtual crypto card,38
"Crypto payment fees, rates, and limits",24
Crypto payments and how they work,-1
View your crypto card payments,-1
How does crypto staking work?,5
Is there a fee associated with crypto staking?,24
Stake and unstake crypto,5
Calculation of crypto tiered pricing,-1
Tier progression and account changes,-1
Trading with crypto tiered pricing,-1
How to make sure crypto withdrawals are processed smoothly,3
How to ensure my crypto is transferred successfully?,3
Crypto notifications,-1
Crypto recurring buy,0
Crypto rates and spread,-1
Fees for trading crypto,24
Crypto limit order,0
What is a crypto market order?,0
Crypto stop order,0
Crypto Learn,5
How does converting cryptocurrency to fiat currency work?,5
Crypto delisting,-1
Crypto account onboarding requirements,5
Other crypto token information,3
Revolut crypto features and products,5
Can I set target prices for exchanging cryptocurrency?,0
Receive (deposit) crypto from an external address,3
Return or manage crypto deposits,3
Failed crypto deposits,3
Addresses supported for withdrawing and reverting crypto deposits,3
Can't see my deposit in-app,3
Pending crypto deposits,3
"Supported crypto deposit currencies, networks, and exchanges",3
Do I have an individual cryptocurrency wallet?,5
Add a new wallet to withdraw crypto,-1
Crypto withdrawal fees,-1
Crypto withdrawal limits,24
Cryptocurrencies and networks available for withdrawals,3
Send (withdraw) crypto to an external address,3
Pending crypto withdrawals,3
Failed crypto withdrawals,3
Cryptocurrency networks,3
Buy and sell crypto,5
Crypto basics,5
Is my crypto safe with Revolut?,-1
Who provides Revolut's crypto services?,4
Taxes on crypto,5
Koinly crypto tax reports,5
Why do I need to name the wallet owner for withdrawals?,29
Crypto private keys and exposure on the blockchain,5
Crypto spare change,27
What exchange rates does Revolut offer?,-1
Currency exchange fees and limits,24
How do I exchange money?,16
Currency exchange orders,0
"I just made an exchange, but I can't find my money",16
Why might my currency order fail or not execute?,0
Open and manage additional currency accounts,16
Investor related tax information,29
How does the commission-free allowance work?,36
Trading orders routing,0
What are trading regulatory fees and taxes?,36
Buying or selling commodities,5
"Commodities prices, rates, and fees",-1
Commodities supported features,5
Which precious metals are supported?,5
Start with Revolut Ramp,5
How can I get a full statement of my Ramp transaction?,3
Pay with Revolut Ramp,3
What are the fees for Revolut Ramp?,-1
I sent crypto to an incorrect wallet address. What can I do?,3
I was charged extra by my bank for a Ramp payment. Why?,-1
My Ramp payment failed. What should I do?,21
My Ramp transaction is completed but I didn't receive the funds,3
My Ramp payment was completed but I didn’t receive the crypto. What should I do?,3
Revolut Ramp supported currencies and limits,5
Why did I receive less crypto than I paid for?,3
Why was I charged more than I was shown?,-1
Advantages of investing in bonds,35
Get started with Bonds,35
Bonds fees,36
Bonds terms and definitions,-1
Bond credit ratings,-1
Buy bonds in the Revolut app,0
Buying a corporate bond vs buying stock in the same company,35
Bond name interpretation in the Revolut app,-1
How does Revolut process corporate actions?,-1
Dividends,35
Merger or acquisition of a company whose shares I own,39
Stock delisting,0
Stock split,39
Trading customer support,4
Which Revolut Trading entity is providing me services?,4
Financial ratios for company analysis,39
Market analysis,0
OTC stocks,0
Stock basics,39
Stock markets,0
What is a fractional share?,39
What is a trading halt?,0
How do I update my trading account details?,10
Why are you asking me for documents to open or continue using Revolut trading?,25
Understanding our onboarding question about affiliations,29
Close my investment account,-1
Reasons an investment account may be closed,-1
How is the portfolio value calculated?,39
Overview of Revolut Trading Ltd's omnibus account ,26
Trading watchlist and price alerts,-1
"Trading account information, statements and reports",33
Trade confirmation statements,33
Fund my investment account,16
Using your credit card or a personal loan to trade stocks,17
How to withdraw funds from my investment account,-1
Open an investment account,29
Can I transfer my account from another broker?,-1
Why does Revolut need my national identifier?,29
What information do I need to provide to onboard to trading?,29
What is an execution-only service?,0
What is a Special Purpose Acquisition Company (SPAC)?,17
American depositary receipts (ADRs) and pass-through fees,36
Products available to trade,17
Can I have a trading account if I’m a US Person?,29
Who is Revolut Trading Ltd authorised by?,4
What are non-tradable securities?,-1
Do I own my stocks?,39
How are my investments with Revolut protected?,26
How are the funds in my investment account protected?,26
What does capital at risk mean?,17
Buy order block,0
Pending trading orders,0
Close a stock position,-1
How to place a stock order,0
Can I use leverage to trade?,-1
What is a GTC Order and how does it work?,0
Trading limit orders,0
What is a stop order?,0
Trading order types,0
Top Movers,-1
Security prices,0
What are Revolut's trading fees?,36
Trading value limits,0
Why is my stock on 'sell only'?,0
Orders submitted during extended hours trading,0
Extended hours trading risks,0
How extended hours trading works,0
What is a trading day?,0
Trading hours,0
What are the fees for Trading Pro?,36
What is Trading Pro?,36
