min_topic_size,topic_id,llm_label,keywords,size,representative_titles
3,0,Trading order types,"order, price, orders, stop, trading, market, buy, sell, limit, hours",40,Crypto stop order | Can I set target prices for exchanging cryptocurrency? | Trading order types
3,1,Revolut travel insurance coverage,"travel, insurance, travel insurance, chubb, trip, cover, claim, covered, revolut travel, coverage",24,Who is covered by travel insurance? | Cover for delayed trips | Trips covered by travel insurance
3,2,Referral purchase requirements,"purchases, reward, referrals, campaign, invitee, step, deadline, make, referral, friend",20,"What are the requirements for 3 purchases? | My friend made 3 purchases, but I didn’t get the reward | Is a physical card required for your friend's purchases?"
3,3,Crypto account setup and security,"crypto, tokens, staking, cryptocurrencies, ramp, cryptocurrency, fiat, revolut, token, web terminal",23,Crypto account onboarding requirements | Is my crypto safe with Revolut? | Revolut crypto features and products
3,4,Supported currencies and cards,"supported, currencies, countries, republic, currently, unsupported, cards, malta, lithuania, following",20,Supported currencies for outgoing transfers | Cards and currencies supported for adding money | What currencies are supported for spending?
3,5,Lost phone number login,"passcode, device, log, phone, phone number, email, lost, id, number, revolut",25,Difficulty logging in | Change my phone number | Log in with a new phone number
3,6,Accessing plan partner subscriptions,"subscription, benefit, ultra customers, access, ultra, metal, metal ultra, benefits, plan scroll, select plan",19,Chess.com | Freeletics | Headspace
3,7,Adding money via bank transfer,"bank, transfer, bank transfer, transfers, money, external, account, easy bank, salary, easy",22,How to transfer funds to Revolut | Add money with a bank transfer | Add money with an easy bank transfer
3,8,Crypto deposit troubleshooting,"crypto, network, address, deposit, blockchain, networks, transaction, wallet, addresses, deposits",18,Pending crypto deposits | Can't see my deposit in-app | Receive (deposit) crypto from an external address
3,9,RevPoints earning and redemption,"revpoints, points, airline, booking, redeem, miles, revolut pay, gift, revpoints menu, gift cards",19,How to earn RevPoints | What is the RevPoints loyalty program? | Redeem RevPoints
3,10,Kids and teens account management,"kids, teens, kids teens, teens account, kid, revolut kids, child, teens card, select kids, account",16,Revolut – Kids & Teens card management | Revolut - Kids & Teens statements | Add money to or withdraw from Revolut Kids & Teens account
3,11,Exchange Traded Products,"etps, investment, underlying, invest, exchangetraded, highrisk, investments, investor, asset, assets",16,What is a crypto ETN? | Get started with crypto ETNs | What is an Exchange-Traded Product (ETP)?
3,12,Accepting payments with Revolut,"reader, payment, iphone, payments, tap pay, pay, pay iphone, accept, payment link, revolut reader",20,Can I accept payments with Revolut Pro? | Requesting money with a payment link | Sending and requesting money with a payment link
3,13,Ordering a physical card,"delivery, card, physical, physical card, order, cards, card order, design, ordering, order card",17,Order a Joint account card | How can my friend order a physical card? | Order a physical card
3,14,Cancel for any reason protection,"event, trip, reason, cancellation, trip event, claim, cancel reason, cancel, ultra, cancellation protection",14,How do I make a cancel for any reason protection claim? | Getting started with cancel for any reason protection | What is a trip?
3,15,Purchase insurance coverage,"qover, purchase, insurance, purchase insurance, claim, items, protection, search, insurance select, item",13,Refund protection coverage | What's the excess for purchase insurance claims? | Purchase protection coverage
3,16,Download account statements,"statement, statements, documents, download, documents statements, confirmation, document, consolidated, select documents, generated",14,Download an account statement for a specific currency | Download transaction or top-up statement | Download a cryptocurrency statement
3,17,Tax and national identification,"tax, national, identification, national id, identification number, id, country, number, provide, information",13,Investor related tax information | Update my tax information | Why does Revolut need my national identifier?
3,18,18_limits_withdrawal_atm_fees,"limits, withdrawal, atm, fees, fee, limit, charged, exchange, withdrawals, currency",16,Fees for cash withdrawals | Currency exchange fees and limits | Cash withdrawal limits and fees
3,19,Transfer status and tracking,"transfer, recipient, transfers, reverted, bank, business days, pending, business, funds, days",16,Why was the transfer to my account reverted? | Why is my incoming transfer pending? | Locate a bank transfer sent from Revolut
3,20,FSCS protection for accounts,"fscs, protected, compensation, savings, bank, scheme, scheme fscs, compensation scheme, money, 120000",12,"Are funds in my  independent teen account FSCS protected? | How are the funds in my Savings accounts protected? | Now that Revolut is a bank, how is my money protected?"
3,21,Identity and address verification,"document, documents, identity, proof, accepted, upload, verification, selfie, photo, address",11,I'm unable to verify my identity | Verify my identity | How do I provide proof of address?
3,22,Joint account management,"joint, joint account, account, close, investment account, closure, close account, accounts, open, investment",15,Joint account card payments | Setting up a Joint account | I want to close my Joint account
3,23,Canceling transfers and payment links,"transfer, recipient, beneficiary, cancel, payment link, recipients, sent, trusted, cancel transfer, recall",10,My transfer to another Revolut customer is pending | More help with sending money via a payment link | I want to cancel a bank transfer
3,24,Recognizing scam red flags,"scammers, phone, criminal, red, legitimate, red flags, real, flags, message, immediately",12,Someone wants to give you a lot of money? | Feeling pressured or threatened? | Urgent text from a kid or friend?
3,25,Pet insurance policy management,"pet, pet insurance, policy, insurance, insurance policy, american, renewal, video, cover, greek",10,Pet Insurance payments and renewals | How do I cancel my Pet Insurance policy? | How can I view or manage my Revolut Pet Insurance policy?
3,26,eSIM data plan management,"esim, data, plan, mobile, esim data, plans, sim, device, mobile plans, network",11,Revolut data plans | Installing and activating my eSIM | Managing my eSIM data plan
3,27,Group Pockets,"pocket, group, pockets, group pocket, choose, choose pocket, money, admin, pocket tap, tap",11,Close a Pocket | What are Pro Pockets? | How do I manage a Group Pocket?
3,28,Moving accounts to Revolut Bank,"moved, account moved, revolut bank, moved revolut, account, bank, close account, emoney, personal, personal account",9,Is my account eligible to be moved to Revolut Bank? | What do I need to do to move my account to a bank account? | Will my account details change after my account is moved?
3,29,Reporting vulnerable circumstances,"gambling, circumstances, vulnerable, support, form, health, advice, groups, financial, feel",9,Reporting vulnerable circumstances to Revolut | How can I share sensitive information with Revolut? | Reporting vulnerable circumstances to Revolut
3,30,Device software and security updates,"device, official, security, manufacturer, devices, operating, updates, software, depending device, update",9,Unofficial (custom) firmware | Operating system and security updates | Locked bootloader requirement for Android devices
3,31,Stock investing fundamentals,"stock, shares, company, share, fractional, analysis, corporate, companys, ratio, corporate actions",9,Financial ratios for company analysis | Stock basics | Stock split
3,32,Trading fees and allowances,"trading pro, commissionfree, trading, allowance, fees, trades, fee, pro, commission, trial",8,What is Trading Pro? | What are Revolut's trading fees? | What are the Stocks and Shares ISA fees?
3,33,Apple Pay and Card Security,"pin, apple, apple pay, card, security, contactless, pay, digits, settings, contactless payments",8,Why is my Apple Pay card number different from my Revolut's? | Card security settings | I can't add my card to Apple Pay
3,34,Mobile number transfers,"number, number transfer, transfer, provider, transfer number, switch, old, mobile plan, mobile, plan",9,Bring your number to Revolut mobile | Understanding mobile plan numbers | Transfer your Revolut number to another provider
3,35,Managing Click to Pay cards,"click pay, click, wallets, linked, pay, email mobile, card, wallet, cards, mobile number",7,What is Click to Pay? | How can I remove my card from Click to Pay? | How do I add cards to Click to Pay?
3,36,Airport lounge and fast track,"pass, lounge, airport, passes, fast, fast track, airport lounge, track, lounges, lounge passes",7,How do I use my airport fast track pass? | How do I purchase an airport lounge pass? | How do I use my airport lounge pass?
3,37,Plan billing and payments,"plan, billing, mobile plan, paid plan, mobile, plan payment, secondary, secondary number, paid, revpoints",8,Managing your paid plan billing | Next payment date for your paid plan | Paying for my mobile plan
3,38,Pending and delayed card payments,"negative, transaction, payment, negative balance, balance, merchant, pending, delayed, reverted, card payment",8,My card payment is pending | Delayed (offline) card payments | Why is my balance now negative?
3,39,Instant Access Savings Interest Rates,"savings, rate, access savings, instant access, instant, savings account, prize, challenge, 2025, aer",10,Earning interest with Savings | Instant Access Savings promotion | Rate decrease on my Instant Access Savings
3,40,Gifting paid plans to friends,"gift, paid plan, plan, paid, gifts, friend, premium plan, premium, annual, accept",7,Sending paid plan gifts | Can I accept multiple paid plan gifts? | Receiving paid plan gifts
3,41,Virtual card usage and limits,"virtual, virtual card, card, singleuse, cards, virtual cards, singleuse virtual, card details, card number, pay",8,My virtual card is not working | What is a virtual card? | How do I use a Revolut virtual card?
3,42,Currency accounts and exchange rates,"currency, exchange, language, rates, currency account, currency exchange, exchange rates, currencies, fees, charged",9,Switching languages in the app | Open and manage additional currency accounts | What currency will I be charged in?
3,43,Financial analytics dashboard,"analytics, spending, air, custom, income, widget, insights, asset, total wealth, total",8,How can I see my total wealth analytics? | What is the analytics dashboard? | How can I see my spending and income analytics?
3,44,Replace reactivate or fix cards,"card, contactless, cards, replace, reactivate, replacement, replace card, physical, isnt working, select card",8,My card was stolen. What should I do? | Reactivate a card | My physical card isn't working
3,45,Contacting support and complaints,"chat, support, complaint, attorney, voice, advice, inapp chat, contact, team, resolution",7,How can I file a complaint? | Mobile plan voice support | How to contact Revolut Support
3,46,Scheduled transfers and custom categories,"direct, scheduled, direct debit, category, debit, scheduled transfer, transfer, direct debits, debits, scheduled payments",12,Create and manage custom categories for transactions | Schedule a transfer | Manage scheduled transfers
3,47,Crypto trading fee tiers,"tier, pricing, volume, fee, tiered, fees, trade, trading, usage, commodities",6,Fees for trading crypto | Tier progression and account changes | Trading with crypto tiered pricing
3,48,Revolut Pro account features,"pro, business, pro account, cashback, revolut pro, url, tools, shopify, revolut business, sales",13,How does Revolut Pro cashback work and how can I boost it? | What features are available with Revolut Pro? | What is Revolut Pro and is it free?
3,49,Stocks and Shares ISA rules,"isa, stocks shares, shares isa, stocks, shares, dividends, allowance, tax, invest, isa provider",6,Stocks and Shares ISA rules | Stocks and Shares ISA transfers | Stocks and Shares Individual Savings Account (ISA)
3,50,Crypto card payments and Ramp,"ramp, crypto, revolut ramp, wallet, crypto card, transactions, transaction, app crypto, revolut, crypto accounts",9,View your crypto card payments | Crypto payments and how they work | Pay with Revolut Ramp
3,51,APP scam reimbursement,"reimbursement, scam, payment, fraud, authorised, push, assess, claim, caution, eligible",5,Authorised Push Payment fraud reimbursement | APP fraud reimbursement eligibility | Authorised Push Payment fraud reimbursement requirements
3,52,Compare Revolut paid plans,"plans, everyday, plan, month, benefits, everyday protection, additional fees, protection insurance, sidebyside, compare plans",5,Ultra plan | Premium plan | Metal plan
3,53,Account transition impact,"revolut bank, products, provided revolut, transition, provided, account transition, bank, services, changes, bank uk",6,How will the account transition affect returns/chargebacks? | Will the transition affect my Pro products and services? | Will this affect my other Revolut products?
3,54,Revolut service providers and regulation,"services, data, authority, revolut trading, uk, revolut, bank uk, revolut revolut, financial conduct, conduct authority",6,Who provides Revolut's crypto services? | Which Revolut companies provide me with services? | Reasons you can trust Revolut
3,55,Bond investment basics,"bonds, bond, maturity, issuer, risk, price, disclosurehttpswwwrevolutcomlegalrtlriskdisclosure, risk disclosurehttpswwwrevolutcomlegalrtlriskdisclosure, typically, corporate",6,Advantages of investing in bonds | Get started with Bonds | Bonds terms and definitions
3,56,International transfer intermediary bank fees,"intermediary, fees, bank, fee, charge, international, transfer, intermediary bank, transfers, upfront",7,Can I cover intermediary bank fees upfront? | Why was my transfer sent via an intermediary bank? | Bank transfer fees
3,57,Downgrading paid plans,"downgrade, plan, paid plan, paid, downgrade plan, break, downgrade fees, 14 days, fee, partner",6,Promotional and free trials | Downgrading your paid plan | Paid plan downgrade fees 
3,58,Card payment declined,"declined, payment declined, merchant, card, withdrawal, card linked, try, payment, declined transaction, check",7,My card payment was declined | Why was my card payment declined if I have enough funds? | Declined card payment isn't visible
3,59,Spare change round ups,"spare change, spare, donations, change, donation, rounded, nearest, rounded nearest, donate, charity",7,Crypto spare change | Spare change round ups | Spare change and recurring Donations
3,60,60_deposit_card_pay_topup,"deposit, card, pay, topup, google, external bank, apple, google pay, add, pay google",7,Manage my deposit cards | How to add money with a card | Add money with Apple Pay or Google Pay
3,61,Closed restricted or deceased accounts,"closed, death, restricted, account, persons, email, reactivation, let know, information, account closed",5,Can I reopen my closed account? | My account was restricted or closed | What happens if the Revolut account holder passes away?
3,62,Report fraudulent transactions,"freeze, report, fraudulent, card, report fraudulent, freeze card, atm, tap freeze, terminate, help",6,My card has been used fraudulently | Report a fraudulent transfer | Report a fraudulent ATM withdrawal
3,63,Personal data privacy and retention,"data, personal data, privacy, ask, personal, law, customer privacy, customer, information, privacy noticehttpswwwrevolutcomprivacypolicy",6,How long will Revolut hold my data? | Security and data privacy | Personal data required to create a Revolut account
3,64,Income Sorter,"income, sorter, income sorter, sort, sorted, properties, commission, accounts pockets, accounts, rating",4,How are properties sorted? | Why wasn’t my income sorted? | Using the Income Sorter feature
3,65,Account security and fraud protection,"mode, wealth protection, security, wealth, protection, trusted, open banking, locations, banking, location",6,How does Revolut protect me against fraud? | What is Open Banking and how does it work? | What are Revolut's safety features?
3,66,Card top-up restrictions,"adding money, adding, visa, money account, money, card issuers, topup, card, issuers, methods",4,Ukraine card top-up limits | Restricted card deposits | Disruptions to adding money with Visa cards
3,67,Dispute and refund status,"dispute, merchant, refund, case, evidence, chargeback, days, process, decision, sufficient",5,Update on my chargeback case | Problems with a refund | Dispute process and timelines
3,68,Blocking and unblocking payments,"block, merchant, merchants, payments, unblock, blocked, gambling, subscription, gambling block, 3ds",6,How do I block and unblock a merchant? | Manage subscription payments to merchants | How does the gambling block work?
3,69,Account settings and notifications,"revtag, hide, notifications, accounts, settings, notifications revolut, notification, flip, icon topleft, icon",6,How do I manage notifications from Revolut? | Revtags | Hidden accounts and transactions
3,70,Reporting fraud and suspicious activity,"cifas, fraud, freeze, report, small, card, tapping, use, terminate, unrecognised",5,"Review my information with CIFAS Marker | How to report a suspicious call, email, link, or text | Strange small charges on your card?"
5,0,Trading order types,"order, price, orders, trading, stop, market, buy, sell, limit, stock",43,Crypto stop order | Can I set target prices for exchanging cryptocurrency? | Trading order types
5,1,Reporting scams and fraud,"scammers, fraud, block, report, phone, freeze, scam, payment, fraudulent, card",31,Received an unexpected link? | Feeling pressured or threatened? | Urgent text from a kid or friend?
5,2,Travel insurance coverage,"travel, insurance, travel insurance, chubb, trip, cover, claim, covered, policy, coverage",24,Who is covered by travel insurance? | Cover for delayed trips | Trips covered by travel insurance
5,3,Crypto deposit troubleshooting,"crypto, address, network, wallet, deposit, transaction, blockchain, networks, addresses, ramp",25,Pending crypto deposits | Can't see my deposit in-app | Receive (deposit) crypto from an external address
5,4,Reporting vulnerable circumstances,"support, gambling, advice, circumstances, complaint, chat, financial, vulnerable, help, form",23,Reporting vulnerable circumstances to Revolut | Reporting vulnerable circumstances to Revolut | How can I share sensitive information with Revolut?
5,5,Revolut crypto trading and setup,"crypto, tokens, revolut, cryptocurrency, cryptocurrencies, staking, fiat, ramp, learn, token",26,Buy and sell crypto | Crypto account onboarding requirements | Revolut crypto features and products
5,6,Referral purchase requirements,"purchases, referrals, reward, campaign, invitee, card, step, deadline, physical card, make",22,"What are the requirements for 3 purchases? | My friend made 3 purchases, but I didn’t get the reward | Is a physical card required for your friend's purchases?"
5,7,Schedule and cancel transfers,"transfer, scheduled, direct, recipient, direct debit, category, debit, tap, scheduled transfer, cancel",26,I want to cancel a bank transfer | Schedule a transfer | Manage scheduled transfers
5,8,Supported currencies and cards,"supported, currencies, countries, republic, currently, unsupported, cards, transfers, following, support",19,Supported currencies for outgoing transfers | What currencies are supported for spending? | Cards and currencies supported for adding money
5,9,Transfer status and processing times,"transfer, days, reverted, business days, transfers, business, bank, case, dispute, refund",21,Why was the transfer to my account reverted? | Why is my incoming transfer pending? | Locate a bank transfer sent from Revolut
5,10,Logging in with phone number,"passcode, device, log, revtag, email, phone, revolut, phone number, tap, id",26,Difficulty logging in | Change my phone number | Log in with a new phone number
5,11,Accessing plan partner subscriptions,"subscription, benefit, access, ultra customers, ultra, metal, benefits, metal ultra, plan scroll, plan",20,Chess.com | Freeletics | Headspace
5,12,Account security features,"security, device, mode, location, trusted, official, wealth protection, access, protection, wealth",20,Getting started with Wealth Protection | What are Revolut's safety features? | Getting started with Street Mode
5,13,13_pay_card_money_payment,"pay, card, money, payment, payments, contactless, reader, iphone, apple, limit",27,Using Tap to Pay on iPhone to take payments | Add money with Apple Pay or Google Pay | Can I accept payments with Revolut Pro?
5,14,Bank transfers to Revolut,"bank, transfer, bank transfer, external, transfers, account, external bank, money, salary, easy bank",19,How to transfer funds to Revolut | Add money with a bank transfer | Add money with an easy bank transfer
5,15,Kids and Teens Account Management,"kids, teens, kids teens, teens account, kid, revolut kids, account, child, teens card, app",17,Graduation to the main app | Revolut - Kids & Teens statements | Add money to or withdraw from Revolut Kids & Teens account
5,16,Currency exchange and transfer fees,"currency, exchange, fees, intermediary, charged, bank, transfers, transfer, currency account, language",23,What currency will I be charged in? | Tips for spending in a foreign currency | Bank transfer fees
5,17,Exchange Traded Products,"etps, investment, underlying, invest, exchangetraded, investments, highrisk, investor, asset, assets",16,What is a crypto ETN? | Get started with crypto ETNs | What is an Exchange-Traded Product (ETP)?
5,18,RevPoints earning and redemption,"revpoints, points, airline, booking, redeem, miles, gift, revolut pay, revpoints menu, pay",19,How to earn RevPoints | What is the RevPoints loyalty program? | Redeem RevPoints
5,19,Account move to Revolut Bank,"revolut bank, moved, account, account moved, moved revolut, bank, transition, revolut, close account, personal",16,Is my account eligible to be moved to Revolut Bank? | Can I keep my e-money account? | What do I need to do to move my account to a bank account?
5,20,Downgrading paid plans,"plan, downgrade, billing, paid plan, paid, mobile plan, mobile, monthly, plan tap, termshttpswwwrevolutcomlegalpaidplansgeoredirecttrue",15,Downgrading your paid plan | Changing your paid plan billing date | Paid plan downgrade fees 
5,21,Declined card payments and balances,"transaction, payment, declined, merchant, card, negative, balance, card payment, negative balance, dispute",19,My card payment was declined | Why was my card payment declined if I have enough funds? | Why is my balance now negative?
5,22,Cancel for any reason protection,"trip, event, cancellation, reason, trip event, claim, ultra, cancel, cancel reason, cancellation protection",15,How do I make a cancel for any reason protection claim? | Getting started with cancel for any reason protection | What is a trip?
5,23,Purchase insurance coverage,"qover, purchase, insurance, claim, purchase insurance, items, protection, search, insurance select, coverage",13,Refund protection coverage | What's the excess for purchase insurance claims? | Purchase protection coverage
5,24,Cash withdrawal and exchange fees,"fee, fees, limits, withdrawal, exchange, atm, tier, limit, pricing, charged",22,Fees for cash withdrawals | Currency exchange fees and limits | Cash withdrawal limits and fees
5,25,Identity verification documents,"document, documents, identity, information, proof, accepted, verification, provide, need, address",17,I'm unable to verify my identity | Verify my identity | How do I provide proof of address?
5,26,FSCS fund protection,"fscs, protected, bank, savings, compensation, money, scheme, scheme fscs, compensation scheme, funds",12,"How are the funds in my Savings accounts protected? | Are funds in my  independent teen account FSCS protected? | Now that Revolut is a bank, how is my money protected?"
5,27,Pockets and Spare Change Donations,"spare, spare change, pocket, group, change, pockets, donations, recurring, choose, rounded",17,How do I manage a Group Pocket? | Adding money to Pockets | Spare change and recurring Donations
5,28,Ordering physical cards,"card, delivery, cards, order, physical, card order, physical card, design, standard, customisation",14,What are the fees for ordering a card? | Order a Joint account card | Order a physical card
5,29,Tax and national ID requirements,"national, tax, identification, investment, information, provide, country, id, number, investment account",15,Investor related tax information | Update my tax information | Why does Revolut need my national identifier?
5,30,eSIM data plan setup,"esim, data, plan, mobile, esim data, plans, sim, device, network, select",12,Installing and activating my eSIM | Revolut data plans | Managing my eSIM data plan
5,31,Joint account management,"joint, joint account, account, accounts, close, closed, hidden, savings, open, personal",15,Joint account card payments | Setting up a Joint account | I want to close my Joint account
5,32,Pet Insurance Policy Management,"pet, pet insurance, policy, insurance, insurance policy, american, renewal, cover, video, greek",9,How do I cancel my Pet Insurance policy? | Pet Insurance payments and renewals | How can I view or manage my Revolut Pet Insurance policy?
5,33,Download statements and documents,"statement, documents, statements, download, documents statements, confirmation, document, consolidated, generated, select documents",13,"Trading account information, statements and reports | Download a cryptocurrency statement | Download transaction or top-up statement"
5,34,Mobile number transfer,"number, transfer, number transfer, provider, transfer number, mobile plan, mobile, plan, transfer revolut, temporary",8,Cancelling or rescheduling a number transfer to Revolut | Understanding mobile plan numbers | Transfer your Revolut number to another provider
5,35,Stocks and Shares ISA,"isa, stocks shares, shares isa, stocks, shares, bonds, bond, maturity, dividends, tax",12,Investing with the Stocks and Shares ISA | Stocks and Shares ISA rules | Stocks and Shares Individual Savings Account (ISA)
5,36,Trading fees and allowances,"trading pro, trading, fees, allowance, trades, fee, commission, pro, stocks, order",9,What is Trading Pro? | What are Revolut's trading fees? | What are the Stocks and Shares ISA fees?
5,37,Instant Access Savings Interest Rates,"savings, rate, access savings, instant access, instant, savings account, prize, access, challenge, aer",9,Earning interest with Savings | Instant Access Savings promotion | Rate decrease on my Instant Access Savings
5,38,Virtual card usage and limits,"virtual, virtual card, card, cards, singleuse, virtual cards, singleuse virtual, card details, pay, card number",8,My virtual card is not working | What is a virtual card? | How do I use a Revolut virtual card?
5,39,Corporate actions on shares,"shares, stock, company, share, fractional, corporate, ratio, companys, corporate actions, actions",8,Merger or acquisition of a company whose shares I own | Stock basics | Stock split
5,40,Airport lounge and fast track passes,"pass, lounge, airport, passes, fast, fast track, airport lounge, track, lounges, lounge passes",7,How do I use my airport fast track pass? | How do I purchase an airport lounge pass? | How do I use my airport lounge pass?
5,41,Physical card activation and replacement,"card, cards, contactless, tap, replace, topup, card tap, topups, reactivate, new card",10,Activate a physical card | Reactivate a card | My physical card isn't working
5,42,Financial analytics dashboard,"income, analytics, spending, air, custom, widget, asset, insights, budgeting, total wealth",10,How can I see my total wealth analytics? | What is the analytics dashboard? | How can I see my spending and income analytics?
5,43,Gifting paid plans,"gift, plan, paid plan, paid, friend, gifts, premium plan, premium, accept, annual",8,Sending paid plan gifts | Can I accept multiple paid plan gifts? | Receiving paid plan gifts
5,44,Click to Pay card management,"click pay, click, linked, wallets, pay, card, email mobile, cards, wallet, mobile number",6,What is Click to Pay? | How can I remove my card from Click to Pay? | How do I add cards to Click to Pay?
5,45,Revolut Pro features and cashback,"pro, pro account, business, cashback, revolut pro, url, tools, shopify, account, revolut",13,How does Revolut Pro cashback work and how can I boost it? | What features are available with Revolut Pro? | What is Revolut Pro and is it free?
5,46,Adding cards to Apple Pay,"pin, apple, card, pay, apple pay, verification, app, otp, log revolut, revolut app",7,I can't add my card to Apple Pay | Setting up Google Pay | Setting up Apple Pay
8,0,Travel insurance trip coverage,"insurance, claim, trip, cover, travel, policy, coverage, covered, search, travel insurance",64,Trips covered by travel insurance | Cover for delayed trips | Cover for cancelled and interrupted trips
8,1,Card payment troubleshooting,"card, pay, payment, payments, revolut, tap, cards, apple, transaction, money",85,Why aren’t my contactless payments working? | Card security settings | My physical card isn't working
8,2,Trading order types,"order, price, orders, stock, trading, market, stop, buy, sell, limit",55,Can I set target prices for exchanging cryptocurrency? | What is a stop order? | Trading order types
8,3,Identity and account verification,"documents, document, identity, account, email, revolut, passcode, verification, selfie, verify",46,How do I provide proof of address? | Verify my identity | Difficulty logging in
8,4,Joint account closure,"account, joint, joint account, close, accounts, revolut, moved, revolut bank, closure, pro",39,Setting up a Joint account | I want to close my Joint account | What will happen to my Joint account?
8,5,Reporting phone and payment scams,"block, scammers, report, phone, card, freeze, fraud, use, scam, payment",29,Feeling pressured or threatened? | Received an unexpected link? | Urgent text from a kid or friend?
8,6,Currency exchange and withdrawal fees,"fees, fee, limits, trading, withdrawal, charged, exchange, allowance, plan, limit",36,Currency exchange fees and limits | Fees for cash withdrawals | Cash withdrawal limits and fees
8,7,Referral purchase step requirements,"purchases, reward, referrals, invitee, campaign, card, physical card, step, make, physical",22,"What are the requirements for 3 purchases? | My friend made 3 purchases, but I didn’t get the reward | Is a physical card required for your friend's purchases?"
8,8,Supported currencies and cards,"supported, currencies, countries, currently, card, ukraine, republic, cards, unsupported, visa",25,Supported currencies for outgoing transfers | What currencies are supported for spending? | Cards and currencies supported for adding money
8,9,Crypto deposit troubleshooting,"crypto, address, network, deposit, wallet, transaction, blockchain, networks, addresses, send",21,Pending crypto deposits | Can't see my deposit in-app | Receive (deposit) crypto from an external address
8,10,Managing Kids and Teens accounts,"kids, teens, kids teens, teens account, kid, revolut kids, account, child, app, tap",18,Graduation to the main app | Add money to or withdraw from Revolut Kids & Teens account | Revolut - Kids & Teens statements
8,11,Transfer status and delays,"transfer, transfers, days, bank, dispute, recipient, reverted, business days, business, funds",26,Why was the transfer to my account reverted? | Why is my incoming transfer pending? | Locate a bank transfer sent from Revolut
8,12,RevPoints loyalty program,"revpoints, points, pass, lounge, booking, airline, revpoints menu, airport, miles, gift",27,How to earn RevPoints | What is the RevPoints loyalty program? | Redeem RevPoints
8,13,Accessing Revolut plan benefits,"subscription, benefit, access, ultra, ultra customers, metal, benefits, metal ultra, customers, plan",19,Freeletics | Chess.com | Headspace
8,14,Crypto ETNs and ETPs,"investment, asset, etps, assets, underlying, invest, crypto, risk, investments, investor",20,What is a crypto ETN? | Get started with crypto ETNs | What is an Exchange-Traded Product (ETP)?
8,15,Downgrading paid plans,"plan, paid plan, paid, gift, downgrade, billing, friend, annual, gifts, premium",23,Downgrading your paid plan | Changing your paid plan billing date | Paid plan downgrade fees 
8,16,Revolut crypto trading and setup,"crypto, revolut, ramp, revolut ramp, cryptocurrency, cryptocurrencies, staking, tokens, app, fiat",25,Buy and sell crypto | Crypto account onboarding requirements | Revolut crypto features and products
8,17,Managing scheduled transfers,"transfer, category, scheduled, direct, tap, scheduled transfer, direct debit, cancel, recipient, debit",23,More help with a scheduled transfer | Manage scheduled transfers | I want to cancel a bank transfer
8,18,Reporting vulnerable circumstances,"support, gambling, advice, circumstances, chat, complaint, vulnerable, help, form, financial",17,Reporting vulnerable circumstances to Revolut | How can I share sensitive information with Revolut? | Reporting vulnerable circumstances to Revolut
8,19,FSCS protection for Revolut accounts,"savings, fscs, bank, protected, access savings, instant access, account, revolut, rate, instant",24,"How are the funds in my Savings accounts protected? | Are funds in my  independent teen account FSCS protected? | Now that Revolut is a bank, how is my money protected?"
8,20,Tax and national identification,"tax, national, isa, stocks shares, shares, shares isa, identification, stocks, number, information",16,Update my tax information | Investor related tax information | Why does Revolut need my national identifier?
8,21,External bank account transfers,"bank, transfer, bank transfer, transfers, external, money, account, external bank, fees, salary",23,How do I link an external account to Revolut? | Add money with a bank transfer | Add money with an easy bank transfer
8,22,Ordering new cards,"card, cards, delivery, physical, order, physical card, card order, design, virtual, new",19,What are the fees for ordering a card? | Order a Joint account card | Order a physical card
8,23,eSIM data plan management,"esim, data, number, plan, mobile, transfer, device, mobile plan, plans, number transfer",21,Installing and activating my eSIM | Revolut data plans | Managing my eSIM data plan
8,24,Currency accounts and exchange fees,"currency, exchange, balance, rate, local, currency account, language, local currency, details, fees",17,Open and manage additional currency accounts | Tips for spending in a foreign currency | What currency will I be charged in?
8,25,Download account statements,"statement, documents, statements, download, documents statements, confirmation, consolidated, account, document, select documents",13,Download an account statement for a specific currency | Download transaction or top-up statement | Download a cryptocurrency statement
8,26,Managing Revolut Pockets,"pocket, spare, spare change, group, change, pockets, recurring, donations, choose, tap",16,What are Pro Pockets? | Adding money to Pockets | How do I manage a Group Pocket?
8,27,Account security and fraud protection,"security, device, mode, location, official, wealth protection, protection, wealth, trusted, access",17,How does Revolut protect me against fraud? | Getting started with Street Mode | What are Revolut's safety features?
15,0,Managing account balances and transfers,"revolut, account, card, tap, transfer, select, app, plan, order, fees",709,How do I move money out of my Revolut Pro account? | Why are my statement balance and in-app balance different? | Add money in one tap
15,1,Travel insurance trip coverage,"insurance, claim, trip, cover, travel, policy, coverage, search, covered, revolut",60,Trips covered by travel insurance | Cover for delayed trips | Cover for cancelled and interrupted trips
15,2,Accessing plan benefits,"subscription, benefit, access, ultra, ultra customers, metal, metal ultra, customers, plan, premium",17,Freeletics | Chess.com | Headspace
